Reference:,Baratta et al. (2015),,,,,
DOI:,doi:http://dx.doi.org/10.1016/j.pss.2015.08.011,,,,,
Sample Type:,Ice Tholin,,,,,
Composition:,CH4:CO:N2 (1:1:1),,,,,
Temperature:,300K,,,,,
OCdb page:,https://ocdb.smce.nasa.gov/dataset/3,,,,,
n_ Error Units:,Not Applicable,,,,,
k_ Error Units:,Not Applicable,,,,,
,,,,,,
Wavenumber (cm__),n_,Dn_  (+/-),,Wavenumber (cm__),k_,Dk_  (+/-)
4491.7,1.61449,,,4491.7,0.01583,
4500.1,1.61461,,,4500.1,0.01576,
4508.4,1.61461,,,4508.4,0.01565,
4516.8,1.61464,,,4516.8,0.01565,
4525.1,1.61477,,,4525.1,0.01547,
4533.4,1.61475,,,4533.4,0.01543,
4541.8,1.61496,,,4541.8,0.01536,
4550.2,1.61502,,,4550.2,0.01526,
4558.5,1.61505,,,4558.5,0.01522,
4566.9,1.6152,,,4566.9,0.01522,
4575.2,1.61521,,,4575.2,0.01512,
4583.6,1.61535,,,4583.6,0.01509,
4591.9,1.61541,,,4591.9,0.01507,
4600.3,1.6155,,,4600.3,0.01502,
4608.6,1.61552,,,4608.6,0.01494,
4617,1.61563,,,4617,0.01497,
4625.3,1.61562,,,4625.3,0.01491,
4633.7,1.61576,,,4633.7,0.01482,
4642,1.61576,,,4642,0.01499,
4650.4,1.61575,,,4650.4,0.01478,
4658.7,1.61587,,,4658.7,0.01486,
4667.1,1.61583,,,4667.1,0.01465,
4675.4,1.61576,,,4675.4,0.01475,
4683.8,1.61584,,,4683.8,0.01464,
4692.1,1.61578,,,4692.1,0.01445,
4700.5,1.61589,,,4700.5,0.0143,
4708.8,1.61597,,,4708.8,0.01428,
4717.2,1.61595,,,4717.2,0.01444,
4725.5,1.61588,,,4725.5,0.01417,
4733.9,1.61586,,,4733.9,0.01409,
4742.2,1.6159,,,4742.2,0.01389,
4750.6,1.61602,,,4750.6,0.01372,
4758.9,1.61606,,,4758.9,0.01364,
4767.3,1.61624,,,4767.3,0.01354,
4775.6,1.61633,,,4775.6,0.01335,
4784,1.61638,,,4784,0.01339,
4792.3,1.61655,,,4792.3,0.01322,
4800.7,1.61665,,,4800.7,0.01321,
4809,1.61669,,,4809,0.01322,
4817.4,1.61678,,,4817.4,0.0131,
4825.7,1.61679,,,4825.7,0.01298,
4834.1,1.6169,,,4834.1,0.01302,
4842.4,1.61704,,,4842.4,0.01293,
4850.8,1.61699,,,4850.8,0.01296,
4859.1,1.61707,,,4859.1,0.01289,
